productId,productName,category,description,price,costPrice,stock,minimumStock,supplier,status
"PRD-IND-101","Tata Enterprise Cloud Server R750","Enterprise IT","High-performance dual-socket enterprise rack server engineered for Indian data centers and AI workloads.",185000,140000,35,10,"Tata Communications Ltd","In Stock"
"PRD-IND-102","Reliance JioFi Enterprise 5G Mesh Router","Networking","Ultra-fast dual-band Wi-Fi 6 enterprise router with failover SIM backup for seamless business connectivity.",12499,7800,85,15,"Jio Platforms Ltd","In Stock"
"PRD-IND-103","boAt Commercial Wireless ANC Headset Pro","Electronics","Active noise cancellation wireless headphones tailored for corporate call centers and executive meetings.",4999,2600,140,20,"Imagine Marketing Pvt Ltd (boAt)","In Stock"
"PRD-IND-104","Havells Smart Pro High-Bay LED Bay 150W","Smart Home & Electricals","Energy-efficient industrial LED illumination fixture with smart IoT remote monitoring.",8500,5200,8,12,"Havells India Ltd","Low Stock"
"PRD-IND-105","Godrej Ergonomic Executive Mesh Chair Ultra","Corporate Office Solutions","Premium lumbar-support mesh office chair built for long-hour productivity and durability.",18999,12000,22,5,"Godrej & Boyce Mfg Co Ltd","In Stock"
"PRD-IND-106","Wipro Smart Commercial Switchboard 8-Gang","Smart Home & Electricals","IoT switchboard module with energy analytics integration for smart enterprise buildings.",6499,3900,60,15,"Wipro Consumer Care & Lighting","In Stock"
"PRD-IND-107","Voltas Commercial Heavy Duty Inverter AC 2 Ton","Consumer Durables","5-Star rated industrial air conditioning unit designed for Indian summer climate extremes.",48500,36000,14,5,"Voltas Enterprise Ltd (Tata Group)","In Stock"
"PRD-IND-108","Prestige Industrial Induction Cooktop 3000W","Consumer Durables","Commercial-grade heavy-duty induction cooktop for corporate cafeterias and commercial kitchens.",7999,4500,50,10,"TTK Prestige Ltd","In Stock"
"PRD-IND-109","Zebronics 32"" Curved 4K QHD Workstation Monitor","Electronics","Bezel-less 144Hz ultra-wide color-accurate display for designers and software developers.",24999,16500,5,10,"Zebronics India Pvt Ltd","Low Stock"
"PRD-IND-110","Luminous PowerX Heavy Commercial SineWave Inverter 3.5kVA","Smart Home & Electricals","Heavy-duty pure sine wave inverter power backup solution for enterprise IT infrastructure.",32000,22000,18,5,"Luminous Power Technologies","In Stock"
"PRD-IND-111","TVS Electronics Thermal POS Receipt Scanner & Printer","Enterprise IT","High-speed retail barcode scanner and dual-color receipt printer setup.",14500,9200,0,10,"TVS Electronics Ltd","Out of Stock"
"PRD-IND-112","Blue Star Commercial Water Purifier & Cooler 150L","Consumer Durables","Stainless steel commercial UV+RO water purification cooler for office campuses.",39000,28000,12,4,"Blue Star India Ltd","In Stock"
"PRD-IND-113","Microtek Online Industrial UPS 3kVA Dual Battery","Smart Home & Electricals","Zero transfer time double conversion online UPS for sensitive server racks.",27500,19000,25,8,"Microtek International Pvt Ltd","In Stock"
"PRD-IND-114","Noise ColorFit Enterprise Smartwatch (Corporate Pack)","Electronics","Health & wellness smartwatch featuring Spo2 monitoring and continuous heart rate tracking.",3499,1800,110,15,"Nexxbase Marketing (Noise)","In Stock"
"PRD-IND-115","Portronics 10-in-1 Type-C Multi-Dock Hub","Electronics","Aluminum body Thunderbolt USB-C expansion dock supporting 4K dual HDMI output.",2999,1400,90,20,"Portronics Digital Pvt Ltd","In Stock"
